,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9991312681010369,0.0008687318989630618,0.7671406003159558,0.8013201320132013,0.7357575757575757,"[[846412    301]
 [   436   1214]]"
ExtraTrees,0.9999233818542298,7.661814577014792e-05,0.9805563864792103,0.9681039574719433,0.9933333333333333,"[[846659     54]
 [    11   1639]]"
LDA,0.9966288015861134,0.0033711984138865086,0.4717399335057259,0.33926673751328373,0.7739393939393939,"[[844226   2487]
 [   373   1277]]"
QDA,0.9889952767859984,0.011004723214001554,0.2597526165556613,0.14942528735632185,0.9927272727272727,"[[837389   9324]
 [    12   1638]]"
DecisionTree,0.9999410629647922,5.8937035207806094e-05,0.984875983061101,0.9830917874396136,0.9866666666666667,"[[846685     28]
 [    22   1628]]"
RandomForest,0.9999363480019756,6.365199802443059e-05,0.9837740384615384,0.9755661501787842,0.9921212121212121,"[[846672     41]
 [    13   1637]]"
GradientBoosting,0.998573723747971,0.0014262762520289075,0.4232602478551001,0.9910714285714286,0.2690909090909091,"[[846709      4]
 [  1206    444]]"
KNeighbors,0.9999434204462005,5.657955379949385e-05,0.985524728588661,0.9807923169267707,0.9903030303030304,"[[846681     32]
 [    16   1634]]"
GaussianNB,0.7133691591924683,0.2866308408075317,0.01338921640625317,0.006739728041761805,1.0,"[[603546 243167]
 [     0   1650]]"
Perceptron,0.9990534712145627,0.0009465287854373658,0.7072548304775793,0.8874656907593779,0.5878787878787879,"[[846590    123]
 [   680    970]]"
AdaBoost,0.999917488150709,8.251184929092853e-05,0.9790544584081389,0.966903073286052,0.9915151515151515,"[[846657     56]
 [    14   1636]]"
