,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9994660304610172,0.0005339695389827232,0.0,0.0,0.0,"[[847910      1]
 [   452      0]]"
ExtraTrees,0.9998290825978974,0.00017091740210263768,0.8383500557413601,0.8449438202247191,0.831858407079646,"[[847842     69]
 [    76    376]]"
LDA,0.9840528170134718,0.015947182986528172,0.05199355335996076,0.02684709457992619,0.8207964601769911,"[[834463  13448]
 [    81    371]]"
QDA,0.9987729309269735,0.0012270690730265229,0.4625709860609189,0.30168350168350166,0.9911504424778761,"[[846874   1037]
 [     4    448]]"
DecisionTree,0.9998467637084597,0.00015323629154029585,0.8555555555555555,0.859375,0.8517699115044248,"[[847848     63]
 [    67    385]]"
RandomForest,0.999864444819022,0.00013555518097795402,0.8720800889877643,0.8769574944071589,0.8672566371681416,"[[847856     55]
 [    60    392]]"
GradientBoosting,0.9936218340498112,0.006378165950188776,0.0,0.0,0.0,"[[842952   4959]
 [   452      0]]"
GaussianNB,0.9005449318275314,0.09945506817246863,0.01055421347655792,0.005305227417415293,0.995575221238938,"[[763539  84372]
 [     2    450]]"
Perceptron,0.9994518855725674,0.0005481144274325966,0.0,0.0,0.0,"[[847898     13]
 [   452      0]]"
AdaBoost,0.9995308611997459,0.00046913880025413647,0.31615120274914094,0.7076923076923077,0.20353982300884957,"[[847873     38]
 [   360     92]]"
