,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
ExtraTrees,0.9998204506688213,0.00017954933117874137,0.0,0.0,0.0,"[[44548     4]
 [    4     0]]"
Bagging,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     1]
 [    4     0]]"
LDA,0.9998653380016159,0.00013466199838405601,0.4,0.3333333333333333,0.5,"[[44548     4]
 [    2     2]]"
QDA,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
RandomForest,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
GradientBoosting,0.9994389083400664,0.0005610916599335668,0.07407407407407408,0.043478260869565216,0.25,"[[44530    22]
 [    3     1]]"
KNeighbors,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
GaussianNB,0.9948828440614059,0.005117155938594129,0.03389830508474576,0.017241379310344827,1.0,"[[44324   228]
 [    0     4]]"
Perceptron,0.9997755633360266,0.0002244366639734267,0.0,0.0,0.0,"[[44546     6]
 [    4     0]]"
AdaBoost,0.9998877816680133,0.00011221833198671335,0.28571428571428575,0.3333333333333333,0.25,"[[44550     2]
 [    3     1]]"
