,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
ExtraTrees,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
Bagging,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
QDA,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,1.0,0.0,0.0,"[[44553     1]
 [    2     0]]"
RandomForest,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
GradientBoosting,0.9998877816680133,0.00011221833198671335,1.0,0.0,0.0,"[[44551     3]
 [    2     0]]"
GaussianNB,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
Perceptron,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
AdaBoost,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
