,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
ExtraTrees,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
Bagging,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
LDA,0.9995241597093049,0.0004758402906951594,0.0,0.0,0.0,"[[23106    10]
 [    1     0]]"
DecisionTree,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
RandomForest,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
GradientBoosting,0.99991348358351,8.651641649002898e-05,0.5,0.3333333333333333,1.0,"[[23114     2]
 [    0     1]]"
KNeighbors,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
GaussianNB,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
Perceptron,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
AdaBoost,0.99991348358351,8.651641649002898e-05,0.0,0.0,0.0,"[[23115     1]
 [    1     0]]"
