,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
LDA,0.9997306760032318,0.00026932399676811203,0.14285714285714285,0.07692307692307693,1.0,"[[44543    12]
 [    0     1]]"
QDA,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     1]
 [    1     0]]"
DecisionTree,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     1]
 [    1     0]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
Bagging,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     2]
 [    1     0]]"
GradientBoosting,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     3]
 [    1     0]]"
KNeighbors,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
GaussianNB,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
Perceptron,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
AdaBoost,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,0.5,1.0,"[[44554     1]
 [    0     1]]"
